faze-vs-ence-dust2.out
de_dust2
DMG/!rain /!43.221,51.273/!knife/!NiKo /!43.962,51.993/!30
DMG/!rain /!45.076,52.417/!knife/!NiKo /!45.907,52.025/!30
DMG/!rain /!47.065,51.902/!knife/!NiKo /!47.829,52.064/!61
KILL/!rain /!47.065,51.902/!knife_butterfly/!NiKo /!47.829,52.064
DMG/!suNny/!73.025,110.841/!knife/!allu/!73.841,110.863/!30
DMG/!suNny/!74.522,110.952/!knife/!allu/!75.764,110.622/!8
DMG/!sergej/!89.383,102.153/!knife/!Jamppi/!88.669,101.483/!13
DMG/!sergej/!89.036,100.845/!knife/!Jamppi/!88.597,99.479/!30
DMG/!allu/!87.643,99.997/!knife/!Aerial/!88.026,99.074/!30
DMG/!sergej/!89.117,98.588/!knife/!Jamppi/!88.604,97.893/!30
DMG/!Aerial/!88.358,98.389/!knife/!Jamppi/!88.605,97.760/!61
KILL/!Aerial/!88.358,98.389/!bayonet/!Jamppi/!88.605,97.760
DMG/!suNny/!89.670,99.190/!knife/!sergej/!89.023,98.250/!30
DMG/!allu/!87.605,98.057/!knife/!Aerial/!88.283,98.193/!8
DMG/!sergej/!89.419,96.227/!knife/!Aerial/!88.449,96.264/!8
DMG/!sergej/!89.621,93.814/!knife/!Aerial/!88.591,94.327/!8
DMG/!rain /!69.189,69.155/!knife/!broky /!70.148,69.081/!13
DMG/!broky /!70.095,69.034/!knife/!rain /!69.235,69.105/!13
DMG/!sergej/!88.985,91.576/!knife/!Aerial/!88.752,92.390/!8
DMG/!suNny/!89.627,93.988/!knife/!Aerial/!88.751,92.315/!30
DMG/!rain /!69.515,69.558/!knife/!broky /!71.032,68.869/!8
DMG/!broky /!70.408,68.821/!knife/!rain /!70.905,69.451/!8
KILL/!sergej/!88.735,89.801/!knife_css/!Aerial/!88.275,90.881
DMG/!sergej/!88.735,89.801/!knife/!Aerial/!88.275,90.881/!8
DMG/!rain /!70.915,69.454/!knife/!broky /!70.427,68.817/!8
DMG/!suNny/!89.118,90.420/!knife/!sergej/!88.629,89.789/!22
DMG/!rain /!70.433,69.556/!knife/!broky /!71.409,68.262/!8
DMG/!broky /!70.400,68.052/!knife/!rain /!71.540,69.339/!8
DMG/!allu/!89.346,89.581/!knife/!suNny/!88.722,88.162/!30
DMG/!suNny/!87.166,87.299/!knife/!sergej/!86.501,86.405/!61
KILL/!suNny/!87.166,87.299/!knife_butterfly/!sergej/!86.501,86.405
DMG/!allu/!88.735,87.814/!knife/!suNny/!87.076,87.214/!30
DMG/!coldzera /!86.720,84.276/!knife/!suNny/!85.898,84.882/!55
KILL/!coldzera /!86.720,84.276/!knife_css/!suNny/!85.898,84.882
DMG/!rain /!72.784,67.377/!knife/!broky /!72.949,66.386/!8
DMG/!broky /!72.894,66.499/!knife/!rain /!72.712,67.282/!13
DMG/!rain /!72.432,67.387/!knife/!broky /!73.139,66.429/!8
DMG/!broky /!73.192,66.510/!knife/!rain /!72.381,67.343/!8
DMG/!rain /!72.779,66.839/!knife/!broky /!73.403,66.946/!22
DMG/!broky /!73.403,66.821/!knife/!rain /!72.779,66.940/!8
DMG/!rain /!74.928,68.396/!knife/!broky /!75.763,67.022/!13
DMG/!broky /!75.463,67.026/!knife/!rain /!75.229,68.150/!13
DMG/!coldzera /!77.049,82.885/!knife/!Bymas/!75.575,82.033/!30
DMG/!rain /!75.041,68.020/!knife/!broky /!76.063,67.499/!8
DMG/!broky /!76.083,67.838/!knife/!rain /!75.127,67.800/!8
DMG/!coldzera /!75.255,81.701/!knife/!Bymas/!74.752,80.626/!30
DMG/!rain /!75.573,68.065/!knife/!broky /!76.201,68.612/!22
KILL/!rain /!75.573,68.065/!knife_butterfly/!broky /!76.201,68.612
DMG/!coldzera /!74.475,79.732/!knife/!Bymas/!75.121,78.713/!30
DMG/!coldzera /!75.160,77.753/!knife/!Bymas/!75.534,77.192/!30
KILL/!coldzera /!75.160,77.753/!knife_css/!Bymas/!75.534,77.192
DMG/!allu/!74.492,71.359/!knife/!rain /!74.149,70.624/!55
KILL/!allu/!74.492,71.359/!knife_butterfly/!rain /!74.149,70.624
DMG/!coldzera /!74.773,72.231/!knife/!allu/!74.626,71.561/!33
DMG/!coldzera /!74.119,71.685/!knife/!allu/!74.462,70.973/!21
DMG/!Bymas/!60.020,96.490/!hkp2000/!Aerial/!59.577,75.836/!115
KILL/!Bymas/!60.020,96.490/!usp_silencer HS/!Aerial/!59.577,75.836
DMG/!unnamed/!NAN/!/!rain /!74.145,108.027/!2
DMG/!coldzera /!22.653,124.143/!hkp2000/!Jamppi/!24.825,99.461/!13
DMG/!unnamed/!NAN/!/!sergej/!74.996,110.676/!8
DMG/!Bymas/!92.742,105.587/!hkp2000/!sergej/!75.131,110.555/!117
KILL/!Bymas/!92.742,105.587/!usp_silencer HS/!sergej/!75.131,110.555
DMG/!coldzera /!22.509,124.111/!hkp2000/!suNny/!24.146,101.819/!28
DMG/!Jamppi/!26.405,104.735/!glock/!broky /!36.632,110.444/!11
DMG/!Jamppi/!26.804,104.788/!glock/!broky /!36.777,110.171/!11
DMG/!Jamppi/!27.335,105.208/!glock/!broky /!36.601,110.530/!11
KILL/!coldzera /!22.811,124.124/!usp_silencer HS/!allu/!25.106,94.196
DMG/!coldzera /!22.811,124.124/!hkp2000/!allu/!25.106,94.196/!105
KILL/!coldzera /!21.895,124.061/!usp_silencer HS/!Jamppi/!27.515,107.396
DMG/!coldzera /!21.895,124.061/!hkp2000/!Jamppi/!27.515,107.396/!118
DMG/!suNny/!29.503,108.205/!glock/!broky /!36.425,111.044/!106
KILL/!suNny/!29.503,108.205/!glock HS/!broky /!36.425,111.044
DMG/!suNny/!25.475,112.091/!glock/!coldzera /!26.688,123.054/!11
DMG/!coldzera /!26.343,123.092/!hkp2000/!suNny/!25.334,112.107/!31
DMG/!suNny/!25.092,112.137/!glock/!coldzera /!26.642,123.054/!11
KILL/!coldzera /!26.656,123.052/!usp_silencer HS/!suNny/!25.091,112.137
DMG/!coldzera /!26.656,123.052/!hkp2000/!suNny/!25.091,112.137/!126
DMG/!sergej/!77.288,110.163/!glock/!rain /!92.883,105.898/!10
DMG/!NiKo /!88.068,115.805/!ssg08/!suNny/!70.195,107.149/!84
DMG/!unnamed/!NAN/!/!sergej/!78.738,109.814/!14
DMG/!rain /!92.786,105.584/!m4a1/!sergej/!78.802,109.816/!126
KILL/!rain /!92.786,105.584/!m4a1 HS/!sergej/!78.802,109.816
DMG/!unnamed/!NAN/!/!Jamppi/!77.856,107.654/!19
DMG/!coldzera /!59.332,109.551/!famas/!Jamppi/!78.851,107.594/!34
DMG/!coldzera /!59.333,109.551/!famas/!Jamppi/!79.096,107.594/!34
DMG/!coldzera /!59.333,109.543/!famas/!Jamppi/!79.096,107.594/!27
KILL/!coldzera /!59.333,109.543/!famas/!Jamppi/!79.096,107.594
DMG/!NiKo /!88.088,115.966/!hkp2000/!Aerial/!68.846,107.492/!28
DMG/!suNny/!69.271,109.790/!p250/!rain /!92.803,105.860/!75
KILL/!rain /!92.791,105.752/!m4a1/!suNny/!69.284,109.871
DMG/!rain /!92.791,105.752/!m4a1/!suNny/!69.284,109.871/!30
DMG/!Aerial/!68.307,110.411/!glock/!rain /!92.798,105.796/!11
DMG/!Aerial/!68.285,110.970/!glock/!rain /!92.778,105.682/!9
KILL/!Aerial/!68.285,110.970/!glock/!rain /!92.778,105.682
DMG/!Bymas/!93.945,104.683/!m4a1/!Aerial/!68.903,113.758/!30
DMG/!Bymas/!93.842,104.399/!m4a1/!Aerial/!69.168,114.380/!121
KILL/!Bymas/!93.842,104.399/!m4a1 HS/!Aerial/!69.168,114.380
DMG/!Bymas/!93.500,103.641/!m4a1/!allu/!70.251,116.530/!30
DMG/!NiKo /!88.411,118.371/!hkp2000/!allu/!70.239,116.681/!29
DMG/!Bymas/!93.224,103.152/!m4a1/!allu/!70.228,116.831/!121
DMG/!NiKo /!88.447,117.898/!hkp2000/!allu/!70.228,116.831/!20
KILL/!Bymas/!93.224,103.152/!m4a1 HS/!allu/!70.228,116.831
DMG/!allu/!22.058,88.425/!hegrenade/!broky /!29.800,105.645/!13
DMG/!suNny/!24.829,90.537/!hegrenade/!broky /!31.352,104.896/!2
DMG/!NiKo /!55.830,110.279/!ssg08/!suNny/!54.086,93.340/!46
DMG/!suNny/!54.133,93.279/!ak47/!NiKo /!55.994,110.260/!9
DMG/!suNny/!53.894,93.306/!ak47/!NiKo /!56.280,110.226/!33
DMG/!suNny/!53.862,93.309/!ak47/!NiKo /!56.608,110.184/!9
DMG/!NiKo /!57.254,110.126/!ssg08/!suNny/!53.907,93.298/!59
KILL/!NiKo /!57.254,110.126/!ssg08 WB/!suNny/!53.907,93.298
DMG/!NiKo /!60.498,108.550/!hegrenade/!Aerial/!62.896,95.265/!4
DMG/!sergej/!73.556,79.396/!ak47/!NiKo /!93.491,95.600/!12
DMG/!sergej/!73.542,79.415/!ak47/!NiKo /!93.453,95.649/!26
DMG/!Bymas/!87.646,75.714/!m4a1/!sergej/!74.141,88.940/!23
DMG/!Bymas/!87.646,75.714/!m4a1/!sergej/!74.323,89.363/!27
DMG/!Bymas/!87.645,75.712/!m4a1/!sergej/!74.528,89.775/!21
DMG/!Bymas/!87.655,75.689/!m4a1/!sergej/!75.407,90.154/!9
DMG/!Bymas/!85.152,75.175/!m4a1/!Jamppi/!79.152,86.437/!22
DMG/!Bymas/!85.154,75.172/!m4a1/!Jamppi/!79.148,86.434/!88
KILL/!Bymas/!85.154,75.172/!m4a1 HS/!Jamppi/!79.148,86.434
DMG/!Bymas/!85.123,75.155/!m4a1/!sergej/!75.501,89.834/!21
KILL/!Bymas/!85.123,75.155/!m4a1/!sergej/!75.501,89.834
DMG/!Aerial/!87.288,121.898/!ak47/!NiKo /!88.611,85.928/!25
KILL/!Aerial/!87.288,121.898/!ak47/!NiKo /!88.611,85.928
DMG/!rain /!88.014,111.838/!m4a1/!Aerial/!87.731,121.554/!22
DMG/!Aerial/!87.742,121.554/!ak47/!rain /!88.023,111.842/!27
DMG/!rain /!88.023,111.842/!m4a1/!Aerial/!87.742,121.554/!22
DMG/!Aerial/!87.742,121.554/!ak47/!rain /!88.023,111.842/!34
KILL/!rain /!88.023,111.842/!m4a1 HS/!Aerial/!87.742,121.554
DMG/!rain /!88.023,111.842/!m4a1/!Aerial/!87.742,121.554/!89
DMG/!allu/!84.412,120.384/!ak47/!Bymas/!94.284,85.762/!25
DMG/!allu/!84.300,120.412/!ak47/!Bymas/!94.481,85.821/!32
DMG/!Bymas/!94.400,85.797/!ak47/!allu/!84.300,120.412/!14
KILL/!rain /!87.925,113.490/!m4a1 HS/!allu/!83.765,119.972
DMG/!rain /!87.925,113.490/!m4a1/!allu/!83.765,119.972/!90
KILL/!coldzera /!56.553,80.259/!ak47 HS/!sergej/!68.726,67.723
DMG/!coldzera /!56.553,80.259/!ak47/!sergej/!68.726,67.723/!139
DMG/!coldzera /!57.605,79.233/!ak47/!Aerial/!68.747,69.111/!27
DMG/!coldzera /!57.578,79.201/!ak47/!Aerial/!68.695,69.040/!27
DMG/!coldzera /!57.586,79.210/!ak47/!Aerial/!68.759,69.108/!27
