faze-vs-ence-mirage.out
de_mirage
DMG/!coldzera /!88.279,63.893/!knife/!NiKo /!89.118,64.327/!13
DMG/!rain /!86.910,63.451/!knife/!coldzera /!88.460,64.115/!30
DMG/!coldzera /!88.806,63.629/!knife/!NiKo /!88.989,62.363/!30
DMG/!rain /!88.566,64.454/!knife/!coldzera /!88.994,63.321/!30
DMG/!coldzera /!89.150,61.771/!knife/!NiKo /!88.685,60.415/!30
DMG/!rain /!89.141,62.476/!knife/!coldzera /!89.122,61.370/!30
KILL/!coldzera /!88.941,59.833/!knife_css/!NiKo /!88.508,58.831
DMG/!coldzera /!88.941,59.833/!knife/!NiKo /!88.508,58.831/!30
DMG/!rain /!89.078,60.101/!knife/!coldzera /!88.929,59.800/!61
KILL/!rain /!89.078,60.101/!knife_butterfly/!coldzera /!88.929,59.800
DMG/!broky /!84.797,49.183/!knife/!Bymas/!84.515,48.300/!30
DMG/!broky /!84.563,47.563/!knife/!Bymas/!84.151,46.756/!30
DMG/!Bymas/!83.353,45.910/!knife/!broky /!83.914,46.699/!8
DMG/!broky /!83.854,46.657/!knife/!Bymas/!83.366,45.838/!8
DMG/!Bymas/!84.346,44.825/!knife/!broky /!83.835,45.454/!22
DMG/!broky /!84.230,45.456/!knife/!Bymas/!84.312,44.826/!8
DMG/!broky /!84.657,44.912/!knife/!Bymas/!83.886,43.949/!8
DMG/!broky /!83.881,44.289/!knife/!Bymas/!83.203,44.100/!8
DMG/!Bymas/!83.223,44.068/!knife/!broky /!83.848,44.311/!22
KILL/!rain /!84.311,45.276/!knife_butterfly/!broky /!83.817,44.132
DMG/!rain /!84.311,45.276/!knife/!broky /!83.817,44.132/!61
DMG/!Bymas/!77.227,41.711/!knife/!rain /!76.236,41.711/!22
DMG/!rain /!76.450,41.572/!knife/!Bymas/!77.221,41.779/!8
KILL/!rain /!76.450,41.572/!knife_butterfly/!Bymas/!77.221,41.779
DMG/!sergej/!58.992,31.912/!knife/!Aerial/!59.856,32.891/!30
DMG/!sergej/!60.404,33.722/!knife/!Aerial/!61.106,34.317/!30
DMG/!sergej/!61.598,35.485/!knife/!Aerial/!62.254,35.563/!61
KILL/!sergej/!61.598,35.485/!knife_css/!Aerial/!62.254,35.563
DMG/!rain /!69.806,36.459/!knife/!Jamppi/!68.936,36.358/!33
DMG/!rain /!69.451,36.664/!knife/!Jamppi/!69.480,36.486/!21
DMG/!suNny/!69.947,37.376/!knife/!rain /!69.437,36.668/!76
DMG/!rain /!69.216,36.697/!knife/!Jamppi/!69.611,37.146/!76
KILL/!rain /!69.216,36.697/!knife_butterfly/!Jamppi/!69.611,37.146
DMG/!sergej/!68.231,36.503/!knife/!rain /!68.948,36.737/!55
KILL/!sergej/!68.231,36.503/!knife_css/!rain /!68.948,36.737
DMG/!allu/!65.571,35.641/!knife/!suNny/!65.139,37.048/!22
DMG/!Jamppi/!33.066,71.850/!hkp2000/!Bymas/!29.609,80.975/!16
DMG/!Bymas/!27.003,75.397/!glock/!rain /!28.026,74.479/!4
DMG/!rain /!27.441,71.870/!glock/!Jamppi/!36.268,72.327/!103
KILL/!rain /!27.441,71.870/!glock HS/!Jamppi/!36.268,72.327
DMG/!Aerial/!20.670,65.011/!hkp2000/!rain /!28.177,67.107/!16
DMG/!rain /!28.253,66.839/!glock/!Aerial/!20.596,65.165/!26
DMG/!rain /!28.484,66.599/!glock/!Aerial/!20.534,65.377/!26
DMG/!Aerial/!20.561,65.192/!hkp2000/!rain /!28.517,66.581/!16
DMG/!rain /!28.551,66.358/!glock/!Aerial/!20.549,65.254/!26
DMG/!rain /!28.545,66.399/!glock/!Aerial/!20.553,65.221/!26
KILL/!rain /!28.545,66.399/!glock/!Aerial/!20.553,65.221
KILL/!Bymas/!20.600,62.633/!glock HS/!allu/!16.795,61.466
DMG/!Bymas/!20.600,62.633/!glock/!allu/!16.795,61.466/!112
DMG/!Bymas/!17.587,62.835/!glock/!sergej/!18.650,54.404/!12
DMG/!suNny/!47.320,67.508/!hkp2000/!broky /!24.607,79.750/!109
KILL/!suNny/!47.320,67.508/!usp_silencer HS/!broky /!24.607,79.750
DMG/!rain /!35.282,75.528/!hkp2000/!suNny/!47.549,66.887/!11
