faze-vs-ence-nuke.out
de_nuke
DMG/!Jamppi/!77.077,29.280/!knife/!broky /!75.971,29.794/!55
DMG/!broky /!76.039,29.609/!knife/!Jamppi/!77.045,29.937/!55
KILL/!rain /!77.513,30.715/!knife_butterfly/!Jamppi/!77.486,29.744
DMG/!rain /!77.513,30.715/!knife/!Jamppi/!77.486,29.744/!55
DMG/!broky /!77.743,30.303/!knife/!Aerial/!78.894,31.276/!55
DMG/!rain /!77.905,31.098/!knife/!Aerial/!78.889,31.269/!55
KILL/!rain /!77.905,31.098/!knife_butterfly/!Aerial/!78.889,31.269
DMG/!Bymas/!64.707,25.086/!knife/!allu/!65.066,24.146/!33
DMG/!allu/!65.055,24.162/!knife/!Bymas/!64.694,25.040/!33
DMG/!sergej/!78.726,30.993/!knife/!rain /!77.880,31.207/!55
DMG/!Bymas/!63.886,24.756/!knife/!allu/!64.290,23.863/!21
DMG/!allu/!64.263,23.854/!knife/!Bymas/!63.860,24.749/!21
DMG/!broky /!78.566,30.625/!knife/!sergej/!78.507,31.340/!55
DMG/!rain /!77.883,31.240/!knife/!sergej/!78.507,31.340/!55
KILL/!rain /!77.883,31.240/!knife_butterfly/!sergej/!78.507,31.340
DMG/!Bymas/!63.458,24.477/!knife/!allu/!63.572,23.847/!55
KILL/!Bymas/!63.458,24.477/!knife_butterfly/!allu/!63.572,23.847
DMG/!suNny/!76.525,30.450/!knife/!NiKo /!77.480,30.266/!33
DMG/!NiKo /!77.525,30.210/!knife/!suNny/!76.723,30.579/!55
DMG/!suNny/!76.793,29.928/!knife/!NiKo /!78.052,30.543/!21
DMG/!suNny/!77.487,30.654/!knife/!NiKo /!78.268,30.758/!55
KILL/!suNny/!77.487,30.654/!knife_butterfly/!NiKo /!78.268,30.758
DMG/!rain /!77.388,31.241/!knife/!suNny/!76.924,31.305/!55
KILL/!rain /!77.388,31.241/!knife_butterfly/!suNny/!76.924,31.305
DMG/!broky /!74.475,29.105/!knife/!rain /!73.850,28.781/!22
DMG/!coldzera /!75.225,27.183/!knife/!Bymas/!74.922,26.174/!22
DMG/!coldzera /!75.739,25.785/!knife/!Bymas/!74.891,24.303/!8
KILL/!rain /!73.686,39.406/!usp_silencer HS/!suNny/!57.205,45.453
DMG/!rain /!73.686,39.406/!hkp2000/!suNny/!57.205,45.453/!118
DMG/!sergej/!75.568,51.321/!glock/!NiKo /!77.521,39.494/!98
DMG/!Jamppi/!72.945,49.969/!glock/!NiKo /!76.799,39.167/!99
KILL/!Jamppi/!72.945,49.969/!glock HS/!NiKo /!76.799,39.167
DMG/!rain /!72.824,38.346/!hkp2000/!sergej/!75.961,51.874/!15
DMG/!rain /!72.831,38.366/!hkp2000/!sergej/!75.705,51.805/!15
DMG/!sergej/!76.088,51.718/!glock/!rain /!72.948,38.347/!96
DMG/!Aerial/!76.461,49.568/!glock/!rain /!72.567,38.509/!99
KILL/!Aerial/!76.461,49.568/!glock HS/!rain /!72.567,38.509
DMG/!broky /!82.008,59.960/!hkp2000/!Aerial/!78.305,47.302/!15
DMG/!allu/!69.277,42.304/!glock/!coldzera /!77.821,35.149/!11
DMG/!broky /!81.891,59.970/!hkp2000/!Aerial/!79.120,47.567/!15
DMG/!allu/!69.829,42.657/!glock/!coldzera /!77.565,34.857/!11
DMG/!allu/!69.766,42.605/!glock/!coldzera /!77.684,34.983/!14
DMG/!coldzera /!77.681,34.980/!hkp2000/!allu/!69.741,42.582/!126
KILL/!coldzera /!77.681,34.980/!usp_silencer HS/!allu/!69.741,42.582
DMG/!coldzera /!77.418,35.044/!hkp2000/!Jamppi/!71.864,53.340/!116
KILL/!coldzera /!77.418,35.044/!usp_silencer HS/!Jamppi/!71.864,53.340
DMG/!Aerial/!77.245,51.694/!glock/!coldzera /!76.298,35.010/!10
DMG/!Aerial/!77.223,51.693/!glock/!coldzera /!76.613,34.994/!10
DMG/!coldzera /!76.784,34.988/!hkp2000/!Aerial/!77.230,51.693/!15
DMG/!Aerial/!77.190,51.694/!glock/!coldzera /!76.738,34.989/!91
KILL/!Aerial/!77.190,51.694/!glock HS/!coldzera /!76.738,34.989
DMG/!broky /!81.550,60.595/!hkp2000/!sergej/!78.230,57.007/!20
DMG/!broky /!81.828,60.287/!hkp2000/!sergej/!78.366,56.895/!20
DMG/!sergej/!78.462,56.808/!glock/!broky /!82.099,59.983/!26
DMG/!broky /!82.718,60.357/!hkp2000/!Aerial/!74.995,55.432/!23
DMG/!Aerial/!74.855,55.218/!glock/!Bymas/!82.576,59.670/!11
DMG/!Bymas/!82.523,59.669/!hkp2000/!Aerial/!74.870,55.191/!23
DMG/!Aerial/!74.844,55.236/!glock/!Bymas/!82.611,59.643/!11
DMG/!broky /!82.585,60.355/!hkp2000/!Aerial/!74.861,55.206/!19
KILL/!broky /!82.585,60.355/!usp_silencer/!Aerial/!74.861,55.206
DMG/!broky /!81.670,51.202/!hkp2000/!sergej/!73.660,52.513/!20
DMG/!unnamed/!NAN/!/!broky /!79.310,54.227/!17
DMG/!unnamed/!NAN/!/!Bymas/!77.652,57.074/!20
KILL/!broky /!75.393,57.909/!usp_silencer HS/!sergej/!73.660,52.446
DMG/!broky /!75.393,57.909/!hkp2000/!sergej/!73.660,52.446/!132
DMG/!allu/!55.371,47.463/!hegrenade/!rain /!78.693,35.293/!17
DMG/!rain /!79.474,34.325/!famas/!suNny/!87.011,20.171/!19
DMG/!rain /!79.465,34.342/!famas/!suNny/!87.497,20.079/!21
DMG/!Jamppi/!84.365,57.127/!mac10/!Bymas/!76.274,61.597/!54
DMG/!Jamppi/!84.344,56.984/!mac10/!Bymas/!76.275,61.584/!13
DMG/!Jamppi/!84.275,56.798/!mac10/!Bymas/!76.294,61.621/!13
DMG/!Jamppi/!84.169,56.567/!mac10/!Bymas/!76.318,61.669/!13
DMG/!Jamppi/!84.169,56.226/!mac10/!Bymas/!76.313,61.662/!13
KILL/!Jamppi/!84.169,56.226/!mac10/!Bymas/!76.313,61.662
DMG/!Aerial/!73.167,55.345/!ak47/!rain /!79.801,66.349/!27
DMG/!Aerial/!73.154,55.354/!ak47/!rain /!79.801,66.338/!27
DMG/!Aerial/!73.153,55.354/!ak47/!rain /!79.797,66.437/!27
DMG/!Aerial/!73.153,55.354/!ak47/!rain /!79.785,66.511/!27
KILL/!Aerial/!73.153,55.354/!ak47/!rain /!79.785,66.511
DMG/!Aerial/!73.154,55.352/!ak47/!broky /!79.763,67.158/!27
DMG/!broky /!79.686,67.228/!ssg08/!Aerial/!73.158,55.350/!72
DMG/!Aerial/!73.158,55.350/!ak47/!broky /!79.657,67.249/!27
DMG/!Aerial/!73.158,55.350/!ak47/!broky /!79.513,67.333/!27
DMG/!Aerial/!73.158,55.350/!ak47/!broky /!79.141,67.456/!9
DMG/!allu/!76.047,40.170/!deagle/!broky /!79.039,67.506/!32
KILL/!allu/!76.047,40.170/!deagle/!broky /!79.039,67.506
DMG/!NiKo /!71.261,68.732/!m4a1/!allu/!77.152,40.429/!21
DMG/!NiKo /!71.261,68.732/!m4a1/!allu/!77.168,40.433/!21
DMG/!allu/!77.168,40.433/!deagle/!NiKo /!71.261,68.732/!126
KILL/!allu/!77.168,40.433/!deagle HS/!NiKo /!71.261,68.732
DMG/!Jamppi/!79.514,67.765/!mac10/!coldzera /!75.519,69.903/!15
DMG/!Jamppi/!79.442,67.792/!mac10/!coldzera /!75.540,69.888/!15
DMG/!Jamppi/!79.370,67.738/!mac10/!coldzera /!75.533,69.869/!15
DMG/!Jamppi/!79.236,67.588/!mac10/!coldzera /!75.510,69.818/!60
KILL/!Jamppi/!79.236,67.588/!mac10 HS/!coldzera /!75.510,69.818
DMG/!suNny/!72.250,22.800/!ak47/!NiKo /!75.355,25.536/!35
DMG/!suNny/!72.241,22.888/!ak47/!NiKo /!75.141,25.582/!142
KILL/!suNny/!72.241,22.888/!ak47 HS/!NiKo /!75.141,25.582
DMG/!suNny/!77.794,22.627/!ak47/!rain /!80.546,34.798/!140
KILL/!suNny/!77.794,22.627/!ak47 HS/!rain /!80.546,34.798
DMG/!suNny/!91.815,52.729/!ak47/!broky /!88.874,60.995/!35
DMG/!suNny/!91.901,52.768/!ak47/!broky /!88.938,61.018/!35
DMG/!suNny/!91.913,52.773/!ak47/!broky /!88.946,61.020/!35
KILL/!suNny/!91.913,52.773/!ak47/!broky /!88.946,61.020
KILL/!suNny/!89.438,33.229/!ak47 HS/!coldzera /!76.477,35.955
DMG/!suNny/!89.438,33.229/!ak47/!coldzera /!76.477,35.955/!140
DMG/!Bymas/!76.555,32.823/!deagle/!suNny/!97.173,45.136/!35
DMG/!Bymas/!76.697,32.911/!deagle/!suNny/!97.333,45.017/!35
DMG/!suNny/!97.316,45.047/!ak47/!Bymas/!76.704,32.952/!137
KILL/!suNny/!97.316,45.047/!ak47 HS/!Bymas/!76.704,32.952
DMG/!Aerial/!83.231,18.249/!ak47/!NiKo /!83.195,51.994/!5
DMG/!Aerial/!83.215,18.249/!ak47/!NiKo /!83.180,51.993/!5
DMG/!NiKo /!83.167,51.993/!hkp2000/!Aerial/!82.964,18.251/!12
DMG/!broky /!83.011,56.502/!hkp2000/!Aerial/!82.917,18.251/!49
DMG/!broky /!83.072,56.502/!hkp2000/!Aerial/!82.662,18.256/!12
DMG/!Aerial/!82.566,18.259/!ak47/!NiKo /!83.173,51.993/!134
KILL/!Aerial/!82.566,18.259/!ak47 HS/!NiKo /!83.173,51.993
DMG/!broky /!83.182,56.500/!hkp2000/!Aerial/!82.429,18.262/!12
DMG/!Bymas/!83.154,56.617/!hkp2000/!Aerial/!82.410,18.263/!12
DMG/!rain /!93.543,32.273/!hkp2000/!Aerial/!75.906,19.343/!57
KILL/!rain /!93.543,32.273/!usp_silencer HS/!Aerial/!75.906,19.343
DMG/!Jamppi/!75.711,26.599/!m4a1/!rain /!93.243,31.746/!31
DMG/!Jamppi/!75.743,26.484/!m4a1/!rain /!93.209,31.780/!31
DMG/!suNny/!66.825,33.107/!ak47/!rain /!95.415,36.944/!33
DMG/!rain /!94.794,37.295/!hkp2000/!suNny/!66.621,36.025/!53
DMG/!broky /!75.588,55.833/!hkp2000/!sergej/!70.401,49.566/!16
DMG/!coldzera /!69.585,47.217/!hegrenade/!allu/!65.608,43.566/!2
DMG/!coldzera /!69.585,47.217/!hegrenade/!suNny/!66.226,41.925/!7
DMG/!coldzera /!69.585,48.142/!hkp2000/!sergej/!71.116,52.436/!16
DMG/!broky /!75.979,55.472/!hkp2000/!sergej/!71.020,52.366/!16
DMG/!coldzera /!69.585,48.482/!hkp2000/!sergej/!70.076,51.607/!68
KILL/!coldzera /!69.585,48.482/!usp_silencer HS/!sergej/!70.076,51.607
