./demos/movistar-riders-vs-gamerlegion-overpass.out
DMG/!MRS - EasTor/!24.852,24.668/!ak47/!GL ` eraa/!11.958,34.180/!108
KILL/!MRS - EasTor/!24.852,24.668/!ak47 HS/!GL ` eraa/!11.958,34.180
DMG/!MRS - EasTor/!24.308,23.926/!ak47/!GL ` kingmezii/!6.092,38.390/!26
DMG/!MRS - EasTor/!24.089,23.649/!ak47/!GL ` kingmezii/!6.136,38.922/!106
KILL/!MRS - EasTor/!24.089,23.649/!ak47 HS/!GL ` kingmezii/!6.136,38.922
DMG/!GL ` Gux/!8.978,35.516/!deagle/!MRS - EasTor/!23.932,23.457/!38
DMG/!GL ` RuStY^_^/!6.214,39.685/!m4a1_silencer/!MRS - EasTor/!23.905,23.426/!22
DMG/!GL ` RuStY^_^/!6.312,39.704/!m4a1_silencer/!MRS - EasTor/!23.887,23.403/!22
KILL/!GL ` RuStY^_^/!6.341,39.710/!m4a1_silencer/!MRS - EasTor/!23.892,23.408
DMG/!GL ` RuStY^_^/!6.341,39.710/!m4a1_silencer/!MRS - EasTor/!23.892,23.408/!22
DMG/!GL ` hampus/!53.713,61.203/!famas/!MRS - ALEXXXXX/!51.938,53.517/!20
DMG/!GL ` hampus/!53.713,61.203/!famas/!MRS - ALEXXXXX/!52.033,53.498/!20
DMG/!GL ` hampus/!53.713,61.203/!famas/!MRS - ALEXXXXX/!52.109,53.460/!20
DMG/!GL ` hampus/!53.713,61.203/!famas/!MRS - ALEXXXXX/!52.157,53.411/!20
DMG/!GL ` hampus/!53.713,61.203/!famas/!MRS - ALEXXXXX/!52.158,53.411/!20
KILL/!GL ` hampus/!53.713,61.203/!famas/!MRS - ALEXXXXX/!52.158,53.411
DMG/!GL ` hampus/!53.505,60.900/!famas/!MRS - mopoz/!50.910,40.615/!2
DMG/!GL ` hampus/!53.568,60.813/!famas/!MRS - mopoz/!51.009,40.639/!24
DMG/!GL ` hampus/!53.620,60.762/!famas/!MRS - mopoz/!51.080,40.639/!20
DMG/!GL ` hampus/!53.584,60.761/!famas/!MRS - mopoz/!51.267,40.634/!24
DMG/!MRS - mopoz/!51.095,40.654/!ak47/!GL ` hampus/!53.450,60.776/!34
DMG/!GL ` hampus/!53.432,60.778/!famas/!MRS - mopoz/!51.095,40.654/!20
DMG/!MRS - mopoz/!51.095,40.654/!ak47/!GL ` hampus/!53.407,60.781/!34
DMG/!MRS - mopoz/!51.095,40.654/!ak47/!GL ` hampus/!53.378,60.785/!138
KILL/!MRS - mopoz/!51.095,40.654/!ak47 HS/!GL ` hampus/!53.378,60.785
DMG/!GL ` RuStY^_^/!51.955,26.939/!m4a1_silencer/!MRS - lowel/!49.363,39.548/!22
DMG/!GL ` RuStY^_^/!51.955,26.939/!m4a1_silencer/!MRS - lowel/!49.363,39.548/!22
KILL/!GL ` RuStY^_^/!51.955,26.939/!m4a1_silencer HS/!MRS - lowel/!49.363,39.548
DMG/!GL ` RuStY^_^/!51.955,26.939/!m4a1_silencer/!MRS - lowel/!49.363,39.548/!91
